index,nl_intent,nl_intent_normalized,intent_type,action,expectation_type,endpoint,lifecycle_status,resource_id,resource_name,resource_version,priority,context,is_bundle,service_type,quality_level,latency,throughput,availability,max_participants,reporting_interval
32,Get intent report for provide broadband service for residential area with 1Gbps throughput,get intent report for provide broadband service for residential area with 1gbps throughput,IntentReport,GET (IntentReport),,/intentreport,Created,98746,EdgeComputeService001,3.0,2,Video streaming,True,NetworkSlice,Basic,5 ms,1 Gbps,99.999%,5000,10
33,Check compliance for deploy private 5G network for industrial automation,check compliance for deploy private 5g network for industrial automation,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Active,57971,GamingIntentv2,2.2,2,5G networks,True,BroadbandService,1080pHD,20 ms,1 Gbps,99.95%,50,5
34,Destroy intent 97938,destroy intent 97938,IntentSpecification,DELETE,,/intentspecification,Active,97938,VideoStreamProvisionv1,5.7,2,intent-based networks,False,StreamingApplication,Standard,5 ms,500 Mbps,99.9%,500,15
35,Submit intent for provide smart city connectivity for urban infrastructure,submit intent for provide smart city connectivity for urban infrastructure,Intent,POST,PropertyExpectation,/intent,Active,87568,BroadbandDeploymentC,1.5,3,Smart city,False,NetworkSlice,1080pHD,50 ms,10 Gbps,99.95%,5000,5
36,Register a service intent for provide video streaming service for the event venue,register a service intent for provide video streaming service for the event venue,IntentSpecification,POST,,/intentspecification,Active,57551,ConnectedCarIntent002,4.3,3,Edge computing,True,BroadbandService,4KUHD,50 ms,10 Gbps,99.999%,100,15
37,Find intents related to VoiceService,find intents related to voiceservice,IntentSpecification,GET,,/intentspecification,Active,70777,GamingSetup002,3.6,1,5G networks,True,VoiceService,Standard,12 ms,10 Gbps,99.9%,5000,60
38,Modify intent 72614 description,modify intent 72614 description,IntentSpecification,PATCH,,/intentspecification,Created,72614,IoTConnectDeploymentB,3.3,2,Video streaming,False,EdgeComputing,Premium,50 ms,10 Gbps,99.999%,50,10
39,Extend intent 60381 validity period,extend intent 60381 validity period,Intent,PATCH,ReportingExpectation,/intent,Created,60381,SmartCitySetup001,3.7,4,IoT networks,False,VideoStreaming,4KUHD,12 ms,1 Gbps,99.999%,1000,10
40,Show information about intent 24390,show information about intent 24390,IntentReport,GET,,/intentreport,Active,24390,VideoStreamSetupC,1.9,1,5G networks,True,BroadbandService,720p,10 ms,10 Gbps,99.99%,100,30
41,Eliminate intent EdgeComputeService001,eliminate intent edgecomputeservice001,IntentSpecification,DELETE,,/intentspecification,Active,28054,EdgeComputeService001,5.1,4,Autonomous services,False,IoTService,1080pHD,10 ms,10 Gbps,99.999%,500,10
42,Terminate intent BroadbandIntent002,terminate intent broadbandintent002,Intent,DELETE,PropertyExpectation,/intent,Created,74432,BroadbandIntent002,3.5,2,Cloud services,True,BroadbandService,720p,5 ms,1 Gbps,99.999%,5000,15
43,Replace values in intent 61028,replace values in intent 61028,IntentSpecification,PATCH,,/intentspecification,Active,61028,BroadbandSetupB,1.1,5,IoT networks,False,CloudService,Basic,100 ms,10 Gbps,99.95%,500,30
44,Get intent health report,get intent health report,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,28997,VideoStreamIntent002,1.4,3,Broadband services,True,CloudService,Basic,10 ms,1 Gbps,99.95%,200,30
45,Probe network slice NEST-EMBB_VIDEOSTREAMING_INSIDE_VENUE_5G status,probe network slice nest-embb_videostreaming_inside_venue_5g status,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Created,71393,TelehealthProvisionv1,1.7,3,5G networks,True,CloudService,Basic,50 ms,10 Gbps,99.999%,1000,15
46,Preview the VoiceService intent outcome,preview the voiceservice intent outcome,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Created,29121,FactoryAutoServicev2,5.1,1,intent-based networks,True,VoiceService,Premium,20 ms,500 Mbps,99.95%,200,30
47,Generate performance report for intent 39798,generate performance report for intent 39798,IntentReport,GET (IntentReport),,/intentreport,Created,39798,TelehealthDeploymentA,5.4,1,5G networks,True,DataAnalytics,480p,50 ms,100 Mbps,99.99%,100,5
48,Add a new intent for deploy smart grid connectivity for utility management,add a new intent for deploy smart grid connectivity for utility management,IntentSpecification,POST,,/intentspecification,Created,53516,EventLiveProvisionC,4.8,3,IoT networks,False,BroadbandService,1080pHD,20 ms,10 Gbps,99.99%,1000,10
49,Deploy intent for provide holographic communication services,deploy intent for provide holographic communication services,Intent,POST,PropertyExpectation,/intent,Created,64140,SmartGridSetup002,2.8,2,Smart city,True,IoTService,Premium,20 ms,1 Gbps,99.9%,5000,5
50,Display report for CloudService,display report for cloudservice,Intent,GET (IntentReport),PropertyExpectation,/intent,Created,85185,IoTConnectServiceA,3.7,4,Smart city,False,CloudService,720p,100 ms,1 Gbps,99.95%,200,30
51,Preview the BroadbandService intent outcome,preview the broadbandservice intent outcome,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Created,66271,ConnectedCarSetupA,2.4,5,Smart city,True,BroadbandService,Standard,50 ms,1 Gbps,99.9%,100,5
52,Get the current status of SmartCityDeploymentv1,get the current status of smartcitydeploymentv1,Intent,GET,PropertyExpectation,/intent,Created,87922,SmartCityDeploymentv1,2.4,4,Smart city,False,EventWirelessAccess,Basic,10 ms,10 Gbps,99.999%,100,10
53,Order a VoiceService service with network slicing capability,order a voiceservice service with network slicing capability,Intent,POST,DeliveryExpectation,/intent,Created,78790,ConnectedCarProvisionB,4.8,3,Autonomous services,False,VoiceService,4KUHD,50 ms,100 Mbps,99.999%,1000,10
54,What is the status of intent 85368?,what is the status of intent 85368?,IntentReport,GET,,/intentreport,Active,85368,EdgeComputeProvision001,5.7,4,Broadband services,True,BroadbandService,Basic,50 ms,10 Gbps,99.999%,50,10
55,Show me the intent with ID 63499,show me the intent with id 63499,Intent,GET,PropertyExpectation,/intent,Created,63499,CloudServiceSetup002,1.4,3,Enterprise networks,True,VoiceService,480p,50 ms,100 Mbps,99.95%,100,30
56,Eliminate intent SmartCityProvisionv2,eliminate intent smartcityprovisionv2,IntentSpecification,DELETE,,/intentspecification,Created,85808,SmartCityProvisionv2,2.4,3,Video streaming,False,BroadbandService,720p,20 ms,500 Mbps,99.99%,500,15
57,Get the current status of EventLiveDeploymentv2,get the current status of eventlivedeploymentv2,IntentSpecification,GET,,/intentspecification,Active,56882,EventLiveDeploymentv2,3.1,4,Video streaming,True,EventWirelessAccess,720p,20 ms,1 Gbps,99.95%,100,15
58,Report on intent 53414,report on intent 53414,IntentReport,GET,,/intentreport,Active,53414,EventLiveSetup002,4.3,4,5G networks,True,VoiceService,1080pHD,12 ms,500 Mbps,99.95%,200,30
59,Find intents related to DataAnalytics,find intents related to dataanalytics,Intent,GET,DeliveryExpectation,/intent,Active,98792,AutonomousIntent002,5.9,3,Edge computing,False,DataAnalytics,1080pHD,10 ms,500 Mbps,99.9%,1000,15
60,What are the reporting metrics?,what are the reporting metrics?,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Created,33674,VideoStreamSetupA,5.8,1,Broadband services,False,EdgeComputing,720p,100 ms,1 Gbps,99.9%,500,5
61,Show me the intent with ID 50031,show me the intent with id 50031,IntentSpecification,GET,,/intentspecification,Created,50031,BroadbandProvisionB,1.9,5,Cloud services,False,CloudService,1080pHD,10 ms,500 Mbps,99.999%,50,60
62,Generate compliance status report,generate compliance status report,IntentReport,GET (IntentReport),,/intentreport,Created,91529,SmartGridSetup001,4.2,5,Edge computing,False,NetworkSlice,720p,100 ms,10 Gbps,99.9%,100,60
63,What intents exist for Broadband services?,what intents exist for broadband services?,Intent,GET,PropertyExpectation,/intent,Active,61614,NetworkSliceSetupC,2.1,2,Broadband services,True,NetworkSlice,Premium,100 ms,1 Gbps,99.95%,500,10
64,Display intent 30680 details,display intent 30680 details,IntentSpecification,GET,,/intentspecification,Active,30680,EdgeComputeIntentv2,1.3,2,5G networks,False,NetworkSlice,720p,100 ms,10 Gbps,99.9%,200,30
65,View the MissionCriticalServiceB intent,view the missioncriticalserviceb intent,IntentSpecification,GET,,/intentspecification,Active,63615,MissionCriticalServiceB,1.2,1,Smart city,True,DataAnalytics,480p,12 ms,500 Mbps,99.99%,500,60
66,Generate intent for provide smart city connectivity for urban infrastructure,generate intent for provide smart city connectivity for urban infrastructure,IntentSpecification,POST,,/intentspecification,Active,94134,FactoryAutoIntent002,1.8,4,Video streaming,True,EdgeComputing,Basic,10 ms,1 Gbps,99.999%,200,60
67,Extend intent 62830 validity period,extend intent 62830 validity period,Intent,PATCH,DeliveryExpectation,/intent,Active,62830,ConnectedCarProvisionB,4.2,4,Video streaming,False,StreamingApplication,Premium,5 ms,1 Gbps,99.999%,200,30
68,Get degradation report for intent 69175,get degradation report for intent 69175,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Created,69175,NetworkSliceSetupv2,1.8,3,Edge computing,False,EdgeComputing,4KUHD,12 ms,500 Mbps,99.99%,500,5
69,Extend intent 38220 validity period,extend intent 38220 validity period,Intent,PATCH,ReportingExpectation,/intent,Created,38220,ConnectedCarProvisionC,2.2,3,Broadband services,True,EdgeComputing,Premium,5 ms,100 Mbps,99.9%,1000,60
70,Request deployment of deploy network slice with 99.999% availability,request deployment of deploy network slice with 99.999% availability,Intent,POST,ReportingExpectation,/intent,Active,35814,MissionCriticalServiceA,2.5,2,5G networks,True,VoiceService,480p,12 ms,500 Mbps,99.9%,200,5
71,Discontinue intent 46267,discontinue intent 46267,Intent,DELETE,PropertyExpectation,/intent,Created,46267,SmartGridServiceA,3.1,2,Edge computing,False,StreamingApplication,Standard,5 ms,1 Gbps,99.999%,5000,5
72,Get monitoring data for EventLiveDeploymentC,get monitoring data for eventlivedeploymentc,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Created,21412,EventLiveDeploymentC,3.7,4,intent-based networks,False,BroadbandService,Premium,50 ms,500 Mbps,99.95%,500,30
73,Revise ConnectedCarDeploymentB requirements,revise connectedcardeploymentb requirements,IntentSpecification,PATCH,,/intentspecification,Active,86359,ConnectedCarDeploymentB,2.4,4,Cloud services,True,BroadbandService,Standard,50 ms,500 Mbps,99.999%,1000,10
74,Generate monitoring report for provide video streaming service for the event venue,generate monitoring report for provide video streaming service for the event venue,IntentReport,GET (IntentReport),,/intentreport,Created,49998,CloudServiceProvisionC,4.4,4,intent-based networks,True,NetworkSlice,4KUHD,50 ms,10 Gbps,99.999%,100,5
75,List all intents in the system,list all intents in the system,ProbeIntent,GET,ReportingExpectation,/intent,Created,31094,NetworkSliceServiceC,2.3,2,IoT networks,False,EdgeComputing,Basic,50 ms,100 Mbps,99.9%,1000,10
76,What intents exist for IoT networks?,what intents exist for iot networks?,ProbeIntent,GET,PropertyExpectation,/intent,Active,93719,EventLiveSetupv2,5.3,4,IoT networks,False,VideoStreaming,720p,12 ms,1 Gbps,99.9%,1000,60
77,Create intent to provision enable connected car services with ultra reliable low latency,create intent to provision enable connected car services with ultra reliable low latency,IntentSpecification,POST,,/intentspecification,Active,50714,NetworkSliceProvisionv1,1.1,5,Autonomous services,False,VideoStreaming,1080pHD,5 ms,500 Mbps,99.9%,5000,30
78,Get intent health report,get intent health report,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Active,53478,TelehealthDeploymentB,5.6,5,Enterprise networks,True,VideoStreaming,480p,12 ms,1 Gbps,99.99%,5000,60
79,Replace values in intent 81255,replace values in intent 81255,IntentSpecification,PATCH,,/intentspecification,Active,81255,GamingIntentv1,3.6,1,IoT networks,True,VideoStreaming,4KUHD,12 ms,100 Mbps,99.95%,200,60
80,Get intent health report,get intent health report,IntentReport,GET (IntentReport),,/intentreport,Active,58491,EventLiveServiceA,3.7,5,Autonomous services,False,DataAnalytics,Standard,10 ms,100 Mbps,99.999%,500,60
81,Update intent 83897 with new values,update intent 83897 with new values,Intent,PATCH,ReportingExpectation,/intent,Active,83897,IoTConnectProvisionC,3.6,4,5G networks,False,DataAnalytics,Standard,100 ms,10 Gbps,99.95%,200,30
82,Amend intent 36976 parameters,amend intent 36976 parameters,IntentSpecification,PATCH,,/intentspecification,Created,36976,BroadbandSetupA,5.3,5,5G networks,True,NetworkSlice,1080pHD,100 ms,10 Gbps,99.9%,200,10
83,Clean up intent VideoStreamServiceA,clean up intent videostreamservicea,Intent,DELETE,PropertyExpectation,/intent,Active,79612,VideoStreamServiceA,1.9,3,Cloud services,False,StreamingApplication,Premium,5 ms,100 Mbps,99.95%,5000,5
84,Show status report of intent 68216,show status report of intent 68216,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Created,68216,EdgeComputeSetupC,1.6,5,IoT networks,False,CloudService,720p,5 ms,500 Mbps,99.999%,50,30
85,Show status report of intent 68773,show status report of intent 68773,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,68773,SmartCityDeploymentv2,3.7,4,Enterprise networks,False,NetworkSlice,Basic,20 ms,100 Mbps,99.9%,1000,60
86,List all intents in the system,list all intents in the system,IntentReport,GET,,/intentreport,Active,75990,BroadbandSetupB,3.6,2,5G networks,True,IoTService,720p,50 ms,10 Gbps,99.9%,1000,30
87,Get compliance report for CloudServiceIntentv2,get compliance report for cloudserviceintentv2,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Created,77967,CloudServiceIntentv2,5.9,3,Cloud services,True,BroadbandService,1080pHD,100 ms,1 Gbps,99.9%,100,60
88,Change the priority of intent 84156 to 4,change the priority of intent 84156 to 4,IntentSpecification,PATCH,,/intentspecification,Active,84156,CloudServiceSetupC,1.2,4,IoT networks,False,NetworkSlice,Premium,5 ms,500 Mbps,99.999%,200,60
89,Show all reporting events for EventLiveProvision001,show all reporting events for eventliveprovision001,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,98619,EventLiveProvision001,5.5,2,Broadband services,False,StreamingApplication,Basic,12 ms,500 Mbps,99.99%,200,60
90,Delete the intent for provide immersive gaming services with minimal latency,delete the intent for provide immersive gaming services with minimal latency,IntentSpecification,DELETE,,/intentspecification,Active,61438,EventLiveProvisionv1,4.7,4,5G networks,False,StreamingApplication,480p,12 ms,10 Gbps,99.95%,5000,15
91,Delete the intent for provide video streaming service for the event venue,delete the intent for provide video streaming service for the event venue,Intent,DELETE,ReportingExpectation,/intent,Active,22248,VideoStreamSetupB,2.0,3,Cloud services,True,StreamingApplication,1080pHD,5 ms,100 Mbps,99.999%,100,30
92,Search for intent 46385,search for intent 46385,ProbeIntent,GET,ReportingExpectation,/intent,Created,46385,IoTConnectDeploymentB,1.9,1,Broadband services,False,CloudService,1080pHD,5 ms,1 Gbps,99.999%,5000,10
93,Register a service intent for deliver 4K ultra HD video streaming to 200 participants in the stadium,register a service intent for deliver 4k ultra hd video streaming to 200 participants in the stadium,IntentSpecification,POST,,/intentspecification,Active,38351,VideoStreamServicev1,4.7,4,Edge computing,True,VoiceService,Premium,10 ms,1 Gbps,99.9%,5000,15
94,Retrieve intent 28626 information,retrieve intent 28626 information,IntentSpecification,GET,,/intentspecification,Active,28626,IoTConnectDeploymentB,2.0,3,intent-based networks,True,VideoStreaming,Basic,20 ms,500 Mbps,99.95%,500,5
95,Request deployment of provide immersive gaming services with minimal latency,request deployment of provide immersive gaming services with minimal latency,IntentSpecification,POST,,/intentspecification,Active,48921,VideoStreamDeploymentC,1.4,1,Smart city,False,BroadbandService,720p,10 ms,500 Mbps,99.99%,500,15
96,Delete expired intents,delete expired intents,Intent,DELETE,PropertyExpectation,/intent,Created,58974,SmartCityDeployment001,2.6,5,Enterprise networks,False,VoiceService,4KUHD,10 ms,500 Mbps,99.9%,1000,60
97,Delete the intent for enable video conferencing with 500 concurrent participants,delete the intent for enable video conferencing with 500 concurrent participants,IntentSpecification,DELETE,,/intentspecification,Active,86949,SmartCityService001,5.7,4,Edge computing,True,VideoStreaming,1080pHD,5 ms,100 Mbps,99.999%,200,15
98,Evaluate feasibility of deploy smart grid connectivity for utility management,evaluate feasibility of deploy smart grid connectivity for utility management,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Active,78896,CloudServiceDeploymentv2,5.8,4,5G networks,True,IoTService,Premium,20 ms,100 Mbps,99.95%,50,60
99,List all intents in the system,list all intents in the system,IntentReport,GET,,/intentreport,Created,98508,MissionCriticalSetupA,3.7,4,5G networks,False,EdgeComputing,720p,5 ms,1 Gbps,99.95%,1000,10
100,Check latency requirements for provide immersive gaming services with minimal latency,check latency requirements for provide immersive gaming services with minimal latency,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Created,62800,EdgeComputeDeployment001,4.5,4,Video streaming,False,DataAnalytics,Basic,10 ms,10 Gbps,99.99%,100,5
101,What is the compliance status report?,what is the compliance status report?,IntentReport,GET (IntentReport),,/intentreport,Created,77347,EventLiveSetupC,2.8,4,Broadband services,False,VideoStreaming,4KUHD,10 ms,1 Gbps,99.95%,500,10
102,Set up enable telehealth services with guaranteed bandwidth with priority 5,set up enable telehealth services with guaranteed bandwidth with priority 5,IntentSpecification,POST,,/intentspecification,Active,33792,EdgeComputeProvisionv2,3.3,5,Cloud services,False,BroadbandService,4KUHD,10 ms,10 Gbps,99.999%,100,10
103,Evaluate deliver 4K ultra HD video streaming to 200 participants in the stadium parameters,evaluate deliver 4k ultra hd video streaming to 200 participants in the stadium parameters,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Created,43660,IoTConnectIntentv2,3.8,5,Cloud services,False,EdgeComputing,480p,50 ms,100 Mbps,99.999%,500,60
104,Search for intent 86022,search for intent 86022,IntentSpecification,GET,,/intentspecification,Active,86022,ConnectedCarDeployment002,2.6,4,Video streaming,True,VideoStreaming,720p,20 ms,10 Gbps,99.9%,500,30
105,Get details of intent 40568,get details of intent 40568,Intent,GET,ReportingExpectation,/intent,Created,40568,FactoryAutoProvisionv2,4.6,4,Cloud services,True,NetworkSlice,Basic,5 ms,1 Gbps,99.95%,5000,15
106,Get degradation report for intent 84803,get degradation report for intent 84803,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Active,84803,TelehealthSetupC,1.7,2,Broadband services,True,NetworkSlice,Basic,10 ms,10 Gbps,99.9%,200,10
107,Patch intent EventLiveIntentB configuration,patch intent eventliveintentb configuration,IntentSpecification,PATCH,,/intentspecification,Active,94510,EventLiveIntentB,1.7,5,Smart city,False,VideoStreaming,720p,50 ms,500 Mbps,99.99%,5000,5
108,Show all active intents,show all active intents,Intent,GET,DeliveryExpectation,/intent,Active,38953,BroadbandIntentB,4.7,4,IoT networks,True,CloudService,4KUHD,10 ms,100 Mbps,99.99%,200,5
109,Generate report for intent 73717,generate report for intent 73717,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Active,73717,FactoryAutoService002,3.6,2,Video streaming,True,StreamingApplication,4KUHD,20 ms,100 Mbps,99.99%,1000,30
110,Cancel all IoTService intents,cancel all iotservice intents,IntentSpecification,DELETE,,/intentspecification,Active,51106,SmartGridDeployment001,1.0,3,Cloud services,True,IoTService,1080pHD,12 ms,500 Mbps,99.999%,1000,60
111,Eliminate intent BroadbandSetup001,eliminate intent broadbandsetup001,IntentSpecification,DELETE,,/intentspecification,Created,82810,BroadbandSetup001,5.5,4,Enterprise networks,False,EventWirelessAccess,1080pHD,20 ms,100 Mbps,99.9%,5000,10
112,Update intent 79454 to deliver IoT connectivity for sensor networks with 10000 devices,update intent 79454 to deliver iot connectivity for sensor networks with 10000 devices,Intent,PATCH,DeliveryExpectation,/intent,Active,79454,EdgeComputeProvisionC,4.6,2,Video streaming,False,VideoStreaming,Premium,100 ms,1 Gbps,99.9%,5000,30
113,Update the context of AutonomousProvision001 to Smart city,update the context of autonomousprovision001 to smart city,IntentSpecification,PATCH,,/intentspecification,Active,87042,AutonomousProvision001,5.9,4,Smart city,False,IoTService,Standard,12 ms,500 Mbps,99.99%,100,10
114,What is the status of intent 54735?,what is the status of intent 54735?,Intent,GET,ReportingExpectation,/intent,Created,54735,ConnectedCarIntent001,3.4,5,Broadband services,True,CloudService,720p,100 ms,100 Mbps,99.99%,50,5
115,Get intent state report,get intent state report,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Created,77350,VideoStreamServiceA,5.0,1,Video streaming,True,NetworkSlice,480p,5 ms,500 Mbps,99.999%,200,5
116,Show intent validation results,show intent validation results,IntentReport,GET (IntentReport),,/intentreport,Created,38499,BroadbandDeploymentv2,4.1,5,Autonomous services,False,EventWirelessAccess,720p,50 ms,100 Mbps,99.99%,5000,5
